network,prefix,num_sims,delay,budget,group,time,int_filename
BD,BD1,100,1,1,3903,1,../work/interventions/BD1_S100_0/new_I1-B1.csv
BD,BD1,100,1,2,3960,1,../work/interventions/BD1_S100_0/new_I1-B2.csv
BD,BD1,100,1,2,3903,1,../work/interventions/BD1_S100_0/new_I1-B2.csv
BD,BD1,100,1,3,3960,1,../work/interventions/BD1_S100_0/new_I1-B3.csv
BD,BD1,100,1,3,4014,1,../work/interventions/BD1_S100_0/new_I1-B3.csv
BD,BD1,100,1,3,3903,1,../work/interventions/BD1_S100_0/new_I1-B3.csv
BD,BD1,100,1,4,3960,1,../work/interventions/BD1_S100_0/new_I1-B4.csv
BD,BD1,100,1,4,3909,1,../work/interventions/BD1_S100_0/new_I1-B4.csv
BD,BD1,100,1,4,4014,1,../work/interventions/BD1_S100_0/new_I1-B4.csv
BD,BD1,100,1,4,3903,1,../work/interventions/BD1_S100_0/new_I1-B4.csv
BD,BD1,100,12,1,3909,12,../work/interventions/BD1_S100_0/new_I12-B1.csv
BD,BD1,100,12,2,3882,12,../work/interventions/BD1_S100_0/new_I12-B2.csv
BD,BD1,100,12,2,3909,12,../work/interventions/BD1_S100_0/new_I12-B2.csv
BD,BD1,100,12,3,3882,12,../work/interventions/BD1_S100_0/new_I12-B3.csv
BD,BD1,100,12,3,3909,12,../work/interventions/BD1_S100_0/new_I12-B3.csv
BD,BD1,100,12,3,3903,12,../work/interventions/BD1_S100_0/new_I12-B3.csv
BD,BD1,100,12,4,3897,12,../work/interventions/BD1_S100_0/new_I12-B4.csv
BD,BD1,100,12,4,3882,12,../work/interventions/BD1_S100_0/new_I12-B4.csv
BD,BD1,100,12,4,3909,12,../work/interventions/BD1_S100_0/new_I12-B4.csv
BD,BD1,100,12,4,3903,12,../work/interventions/BD1_S100_0/new_I12-B4.csv
BD,BD1,100,18,1,3882,18,../work/interventions/BD1_S100_0/new_I18-B1.csv
BD,BD1,100,18,2,3897,18,../work/interventions/BD1_S100_0/new_I18-B2.csv
BD,BD1,100,18,2,3882,18,../work/interventions/BD1_S100_0/new_I18-B2.csv
BD,BD1,100,18,3,3897,18,../work/interventions/BD1_S100_0/new_I18-B3.csv
BD,BD1,100,18,3,3882,18,../work/interventions/BD1_S100_0/new_I18-B3.csv
BD,BD1,100,18,3,3903,18,../work/interventions/BD1_S100_0/new_I18-B3.csv
BD,BD1,100,18,4,3960,18,../work/interventions/BD1_S100_0/new_I18-B4.csv
BD,BD1,100,18,4,3897,18,../work/interventions/BD1_S100_0/new_I18-B4.csv
BD,BD1,100,18,4,3882,18,../work/interventions/BD1_S100_0/new_I18-B4.csv
BD,BD1,100,18,4,3903,18,../work/interventions/BD1_S100_0/new_I18-B4.csv
BD,BD1,100,3,1,3903,3,../work/interventions/BD1_S100_0/new_I3-B1.csv
BD,BD1,100,3,2,4014,3,../work/interventions/BD1_S100_0/new_I3-B2.csv
BD,BD1,100,3,2,3903,3,../work/interventions/BD1_S100_0/new_I3-B2.csv
BD,BD1,100,3,3,3909,3,../work/interventions/BD1_S100_0/new_I3-B3.csv
BD,BD1,100,3,3,4014,3,../work/interventions/BD1_S100_0/new_I3-B3.csv
BD,BD1,100,3,3,3903,3,../work/interventions/BD1_S100_0/new_I3-B3.csv
BD,BD1,100,3,4,3960,3,../work/interventions/BD1_S100_0/new_I3-B4.csv
BD,BD1,100,3,4,3909,3,../work/interventions/BD1_S100_0/new_I3-B4.csv
BD,BD1,100,3,4,4014,3,../work/interventions/BD1_S100_0/new_I3-B4.csv
BD,BD1,100,3,4,3903,3,../work/interventions/BD1_S100_0/new_I3-B4.csv
BD,BD1,100,6,1,3897,6,../work/interventions/BD1_S100_0/new_I6-B1.csv
BD,BD1,100,6,2,3897,6,../work/interventions/BD1_S100_0/new_I6-B2.csv
BD,BD1,100,6,2,3903,6,../work/interventions/BD1_S100_0/new_I6-B2.csv
BD,BD1,100,6,3,3897,6,../work/interventions/BD1_S100_0/new_I6-B3.csv
BD,BD1,100,6,3,3909,6,../work/interventions/BD1_S100_0/new_I6-B3.csv
BD,BD1,100,6,3,3903,6,../work/interventions/BD1_S100_0/new_I6-B3.csv
BD,BD1,100,6,4,3897,6,../work/interventions/BD1_S100_0/new_I6-B4.csv
BD,BD1,100,6,4,3909,6,../work/interventions/BD1_S100_0/new_I6-B4.csv
BD,BD1,100,6,4,3894,6,../work/interventions/BD1_S100_0/new_I6-B4.csv
BD,BD1,100,6,4,3903,6,../work/interventions/BD1_S100_0/new_I6-B4.csv
BD,BD2,100,1,1,3903,1,../work/interventions/BD2_S100_0/new_I1-B1.csv
BD,BD2,100,1,2,3960,1,../work/interventions/BD2_S100_0/new_I1-B2.csv
BD,BD2,100,1,2,3903,1,../work/interventions/BD2_S100_0/new_I1-B2.csv
